-s -t -ip 193.11.186.183 -p 
Nummber of Iterations: 100000
4 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)
864881	191968521	592087

512 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)
904201	237621168	585673

1024 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)
884653	190553092	601389

1500 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)
911324	154382186	588559

2048 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)
880311	159559584	589201

