-s -u -ip 193.11.186.183 -p 
Nummber of Iterations: 100
4 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
781199	1265964	620633	0.22789

512 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
800476	1792620	647255	0.22789

1024 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
843785	1806091	734496	0.22789

1500 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
804501	1169100	667141	0.22789

2048 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
834503	1400354	656877	0.22789

