-s -u -ip 169.254.94.177 -p 
Nummber of Iterations: 100
4 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
96433	473733	66393	0

512 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
71454	97825	68959	0

1024 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
75316	182180	64789	0

1500 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
75001	119957	69280	0

2048 bytes:
AvrageDelay (ns)	HighestDelay (ns)	LowestDelay (ns)	Loss(%): 
64875	132145	54205	0

